和名,学名,分布,生息場所,体長,深さ
スケロクウミタケハゼ,Pleurosicya boldingh,南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、トゲトサカ類に着生,3cm,30m
セボシウミタケハゼ,Pleurosicya mossambica,南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、ウミトサカ類、カイメン類、スリバチサンゴ類などに着生,2.5cm,35m
アカスジウミタケハゼ,Pleurosicya micheli,南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、イシサンゴ類に着生,2.5cm,15m
ヒラウミタケハゼ,Pleurosicya coerulea,琉球列島；インド・太平洋,サンゴ礁域、アオサンゴに単独で着生,3cm,3m
クモハゼ,Bathygobius fuscus,南日本、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、潮だまりや2m以浅の転石地,8cm,1m
モヨウシノビハゼ,Echinogobius hayashii,琉球列島；インド・西太平洋,サンゴ礁域、礁池内など水深2〜30mの砂底の穴に単独で見られる,6cm,23m
ホタテツノハゼ,Tomiyamichthys sp. of Akihito et al. (2013),南日本の太平洋岸、伊豆大島、琉球列島；西部太平洋,サンゴ礁域、礁斜面など30m以深の砂礫底,4cm,30m
オニハゼ,Tomiyamichthys oni,南日本の太平洋岸、伊豆大島、琉球列島、小笠原諸島父島,岩礁域やサンゴ礁域、水深8〜35mの岩やサンゴ周辺の砂底,8cm,25m
ヒメオニハゼ,Tomiyamichthys alleni,南日本の太平洋岸、三宅島、琉球列島；インドネシア,サンゴ礁域、礁斜面など水深10〜35mの砂底や砂礫底,6cm,12m
オドリハゼ,Lotilia klausewitzi,和歌山県、屋久島、琉球列島；インド・太平洋,サンゴ礁域、礁池内など水深1〜50mにあるサンゴ脇の砂底,3cm,10m
ネジリンボウ,Stonogobiops xanthorhinica,南日本の太平洋岸、伊豆諸島、沖縄島；西部太平洋,岩礁域やサンゴ礁域、砂底,7cm,10m
ヒレナガネジリンボウ,Stonogobiops nematodes,南日本の太平洋岸、伊豆諸島、琉球列島；インド・西太平洋,岩礁域やサンゴ礁域、傾斜面など砂底,5cm,10m
ヤシャハゼ,Stonogobiops yasha,南日本の太平洋岸、伊豆諸島、琉球列島；西部太平洋,サンゴ礁域、礁斜面、砂底や砂礫底,5cm,25m
ホシゾラハゼ,Cryptocentrus cyano-spilotus,西表島；西部太平洋,サンゴ礁域、内湾の砂泥底,5cm,6m
タカノハハゼ,Cryptocentrus caeruleo-maculatus,広島県、種子島、屋久島、琉球列島；台湾、香港、紅海、インド・西太平洋,サンゴ礁域、礁池内の3m以浅、内湾や河口付近,5cm,2m
ヒノマルハゼ,Cryptocentrus strigilliceps,屋久島、琉球列島；インド・太平洋,サンゴ礁域、内湾の水深2～15mの砂泥底,5cm,3m
クロホシハゼ,Cryptocentrus nigrocellatus,南日本の太平洋岸、琉球列島；西部太平洋,サンゴ礁域、礁池内のごく浅所、水深20mまで,7cm,12m
シロオビハゼ,Cryptocentrus albidorsus,八丈島、和歌山県、屋久島、種子島、琉球列島；台湾,サンゴ礁域の砂底、礁池内の2m以浅の砂底,5cm,1m
オイランハゼ,Cryptocentrus melanopus,琉球列島；西部太平洋,サンゴ礁、内湾や河口周辺の3m以浅の砂底,7cm,1m
ギンガハゼ,Cryptocentrus cinctus,八重山諸島；インド・西太平洋,サンゴ礁域、内湾の水深1〜6mの砂泥底,7cm,3m
フタホシタカノハハゼ,Cryptocentrus sericus,琉球列島；インド・西太平洋,サンゴ礁域、内湾の水深10〜50mの砂泥底,7cm,4m
ヤマブキハゼ,Amblyeleotris guttata,南日本の太平洋岸、伊豆大島、琉球列島；インド・太平洋,サンゴ礁域,6cm,20m
ニチリンダテハゼ,Amblyeleotris randalli,琉球列島；西部太平洋,サンゴ礁域、内湾的な環境の水深15～50mにある崖の砂だまり,9cm,23m
ダンダラダテハゼ,Amblyeleotris periophthalma,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深3～35mの砂底や砂礫底,9cm,10m
ヤノダテハゼ,Amblyeleotris yanoi,南日本の太平洋岸、伊豆諸島、琉球列島；西部太平洋,サンゴ礁域、礁斜面など水深25～35mの砂底,10cm,10m
クビアカハゼ,Amblyeleotris wheeleri,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深3～30mの砂底,6cm,12m
ハチマキダテハゼ,Amblyeleotris diagonalis,南日本の太平洋岸、琉球列島；インド・西太平洋,サンゴ礁域、礁斜面など水深10～35mの砂底,8cm,12m
ヒメダテハゼ,Amblyeleotris steinitzi,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面など水深2－35mの砂底,6cm,13m
ミナミダテハゼ,Amblyeleotris ogasawarensis,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；西部太平洋,サンゴ礁域、礁斜面など水深20～35mの砂底,8cm,20m
ダテハゼ,Amblyeleotris japonica,南日本の太平洋岸、伊豆諸島、対馬；インド・西太平洋,岩礁域、沿岸の砂底,10cm,25m
ニュウドウダテハゼ,Amblyeleotris fontanesii,紀伊半島、琉球列島；インド・西太平洋,サンゴ礁域、内湾の砂泥底,12cm,20m
シノビハゼ,Ctenogobiops pomastictus,琉球列島；インド・西太平洋,サンゴ礁域、礁池内の砂底や砂礫底,6cm,5m
ハタタテシノビハゼ,Ctenogobiops tangaroai,琉球列島；中・西部太平洋,サンゴ礁域、礁斜面などのガレ場,6cm,10m
ヒメシノビハゼ,Ctenogobiops feroculus,琉球列島；インド・西太平洋,サンゴ礁域、礁池内など水深1～15mの砂底や砂礫底,4cm,10m
ホホスジシノビハゼ,Ctenogobiops maculosus,琉球列島；インド・西太平洋,サンゴ礁域、礁池内など水深3～15mの砂底や砂礫底,5cm,8m
オビシノビハゼ,Ctenogobiops aurocingulus,屋久島、琉球列島；インド・太平洋,サンゴ礁域、礁池内など水深2～7mの砂礫底,5cm,1m
クロオビハゼ,Myersina nigrivirgata,琉球列島；西部太平洋,サンゴ礁域、内湾の水深3～25mにある砂泥底,8cm,3m
クサハゼ,Vanderhorstia sp.,南日本の太平洋岸、島根県隠岐島、小笠原諸島、父島、琉球列島；インドネシア,岩礁域やサンゴ礁池、内湾の砂泥底域,6cm,15m
ヤツシハゼ,Vanderhorstia phaeosticta,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インドネシア,サンゴ礁域、礁池や内湾の砂泥底,4.5cm,15m
シマオリハゼ,Vanderhorstia ambanoro,南日本の太平洋岸、琉球列島；インド・太平洋サンゴ礁域,内湾の砂泥底,9cm,7m
ヒレナガハゼ,Vanderhorstia macropteryx,南日本の太平洋岸、島根県、長崎県志々伎湾沿岸の砂泥底域,砂泥底域,8cm,20m
ホホベニサラサハゼ,Amblygobius sp. A of Suzuki (2004),和歌山県、琉球列島；インドネシア,サンゴ礁域、内湾の砂泥底に穴を掘り生活,6cm,5m
ジュウモンジサラサハゼ,Amblygobius decussatus,八重山諸島；インド・西太平洋,サンゴ礁域、内湾の水深2〜15mのガレ混じりの砂泥底に穴を掘り生活,6cm,5m
キンセンハゼ,Amblygobius hectori,八丈島、琉球列島；インド・太平洋,サンゴ礁域、礁池内など水深2〜10mのサンゴ脇の砂底,5cm,20m
サラサハゼ,Amblygobius phalaena,八丈島、駿河湾、和歌山県、高知県柏島、琉球列島；インド・太平洋,サンゴ礁域、礁池内など30m以浅のガレ混じりの砂底に穴を掘り生活,9cm,1m
ホシハゼ,Asterropteryx semipunctata,南日本の太平洋岸、琉球列島、伊豆・小笠原諸島；インド・太平洋岩礁域やサンゴ礁域,岩礁域やサンゴ礁域、沿岸の水深1～10mのガレ場や転石地,4cm,5m
ヤノウキホシハゼ,Asterropteryx atripes,琉球列島、フィリピン,サンゴ礁域、内湾や礁斜面の水深15～55mのガレ混じりの砂泥底や泥底,3cm,25m
ツマグロサンカクハゼ,Fusigobius melacron,琉球列島；インド・太平洋,サンゴ礁域、内湾の水深10～40mのガレ場や崖下の砂だまり、サンゴの周辺,4.5cm,15m
ヒレフリサンカクハゼ,Fusigobius signipinnis,琉球列島；西部太平洋,サンゴ礁域、内湾の水深2～30mのガレ場の砂だまり,4.5cm,15m
ハタタテサンカクハゼ,Fusigobius inframaculatus,南日本の太平洋岸、伊豆諸島、琉球列島；台湾、インド・西太平洋,サンゴ礁域、内湾的な環境の水深6～30mの崖下の砂だまり,6cm,12m
ゴイシサンカクハゼ,Fusigobius maximus,高知県柏島、琉球列島；インド・西太平洋,サンゴ礁域、礁斜面の水深10～50mにあるサンゴの周辺の砂底,5cm,20m
サンカクハゼ,Fusigobius neophytus,屋久島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面など水深2～20mにあるサンゴの周辺の砂底,6cm,10m
セスジサンカクハゼ,Fusigobius gracilis,南日本の太平洋岸、琉球列島；中・西部太平洋,サンゴ礁域、礁池や礁斜面など水深5～20mにあるサンゴ周辺の砂底,5cm,5m
セホシサンカクハゼ,Fusigobius duospilus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、礁池や礁斜面など水深10～20mにあるサンゴ周辺の砂底,5cm,9m
モエギハゼ,Tryssogobius sp.,八重山諸島,サンゴ礁域、礁斜面の水深45～55mのガレ場、巣穴上でホバリング,3.5cm,45m
ホムラハゼ,Discordipinna griessingeri,和歌山県、高知県以南の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深5～30mのガレ場の転石下,2.5cm,12m
ダイダイオオメワラスボ,Gunnellichthys viridescens,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深10～35mの砂底やガレ場の海底付近,6cm,30m
ニシキオオメワラスボ,Gunnellichthys curiosus,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深3～35mの砂底やガレ場の海底付近,10cm,28m
クロエリオオメワラスボ,Gunnellichthys monostigma,伊豆半島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面など水深10～30mの砂底や藻場の海底付近,9cm,12m
ハタタテハゼ,Nemateleotris magnifica,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面の水深3～30mの礫混じりの砂底やガレ場,4cm,10m
アケボノハゼ,Nemateleotris decora,相模湾、八丈島、高知県柏島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面の水深35～55mのサンゴ片混じりの砂底など,7cm,50m
シコンハタタテハゼ,Nemateleotris helfrichi,高知県柏島、琉球列島、小笠原諸島；中・西部太平洋,サンゴ礁域、礁斜面の砂底、転石混じりの砂底上,7cm,25m
ハナハゼ,Ptereleotris hanae,富山湾、南日本の太平洋岸、奄美大島以北の琉球列島；朝鮮半島、済州島,岩礁域やサンゴ礁域、岩礁に隣接する砂底の中層,14cm,15m
スミゾメハナハゼ,Ptereleotris rubristigma,南日本の太平洋岸、伊豆諸島、琉球列島；インド・西太平洋,サンゴ礁域、礁斜面などの礫混じりの砂底上,10cm,12m
ゼブラハゼ,Ptereleotris zebra,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面などのサンゴの根の周辺の中層,10cm,8m
オグロクロユリハゼ,Ptereleotris heteroptera,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深3〜35mにあるサンゴの根の周辺の中層,9cm,15m
イトマンクロユリハゼ,Ptereleotris microlepis,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面など水深3〜10mにあるサンゴの根の周辺の中層,10cm,7m
スジクロユリハゼ,Ptereleotris grammica,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁域、礁斜面の40m以深のガレ場、海底近くを遊泳,8cm,50m
クロユリハゼ,Ptereleotris evides,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面など水深3〜15mにあるサンゴの根の周辺の中層,9cm,7m
ツバメウオ,Platax teira,北海道釧路以南、南日本、伊豆・小笠原諸島、琉球列島；朝鮮半島、インド・太平洋,サンゴ礁域,30cm,20m
ナンヨウツバメウオ,Platax orbicularis,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面の中層,30cm,25m
ミカヅキツバメウオ,Platax boersii,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；朝鮮半島、西部太平洋の熱帯域,サンゴ礁域、礁斜面の中層、礁池や内湾の浅所,30cm,20m
アカククリ,Platax pinnatus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、礁斜面の底近くや岩尾根,30cm,15m
ヒフキアイゴ,Siganus unimaculatus,琉球列島、小笠原諸島、フィリピン、オーストラリア北西部,サンゴ礁域,20cm,5m
アミアイゴ,Siganus spinus,南日本の太平洋岸、八丈島、琉球列島、東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、5m以浅の藻場に多い,15cm,5m
ゴマアイゴ,Siganus guttatus,琉球列島、東部インド洋～西部太平洋の熱帯域,サンゴ礁域、内湾や河川汽水域,22cm,5m
ハナアイゴ,Siganus argenteus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、礁外縁の中層,25cm,10m
セダカハナアイゴ,Siganus woodlandi,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；ニューカレドニア,サンゴ礁域,25cm,18m
アイゴ,Siganus fuscescens,下北半島、南日本、伊豆諸島、琉球列島；朝鮮半島、東部インド洋～西部太平洋の熱帯域,岩礁域やサンゴ礁域、岩礁の浅場,25cm,6m
マジリアイゴ,Siganus puellus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、礁斜面や水の澄んだ礁池,22cm,10m
サンゴアイゴ,Siganus corallinus,琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁域、礁斜面や礁池、浅所の枝状のサンゴの枝間,3cm,3m
ヒメアイゴ,Siganus virgatus,紀伊半島以南の南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、礁斜面や礁池,22cm,10m
ブチアイゴ,Siganus punctatus,高知県、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、礁外縁や礁池の潮の流れのよい所,25cm,7m
ムシクイアイゴ,Siganus vermiculatus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、内湾や河川汽水域,30cm,12m
チリメンアイゴ,Siganus punctatissimus,八重山諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域,25cm,10m
ツノダシ,Zanclus cornutus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島、朝鮮半島、インド・汎太平洋,岩礁域やサンゴ礁域,20cm,25m
ニザダイ,Prionurus scalprum,南日本、伊豆諸島、伊江島；朝鮮半島、台湾,岩礁域,25cm,8m
ボウズハギ,Naso thynnoides,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁外縁の潮通しのよい所,30cm,15m
キビレボウズハギ,Naso minor,駿河湾、伊豆諸島、八重山諸島、久米島；インド・西太平洋,サンゴ礁域、礁外縁の潮通しのよい所,25cm,30m
トサカハギ,Naso tonganus,琉球列島；インド・西太平洋,サンゴ礁域、礁外縁の潮通しのよい所,50cm,10m
ヒメテングハギ,Naso annulatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、潮通しのよい礁外縁や沖の根など,60cm,10m
テングハギ,Naso unicornis,北海道、山陰地方、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；朝鮮半島、インド・太平洋,サンゴ礁域、礁外縁の潮通しのよい所,45cm,12m
ツマリテングハギ,Naso brevirostris,青森県、富山湾、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁外縁の潮通しのよい所,35cm,12m
オニテングハギ,Naso brachycentron,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域,40cm,12m
サザナミトサカハギ,Naso vlamingii,南日本の太平洋岸、琉球列島；インド・太平洋 / 新潟県、南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、礁外縁の潮通しのよい所,45cm,20m
テングハギモドキ,Naso hexacanthus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、水深15m程の礁外縁の崖など、潮通しのよい所,45cm,23m
ゴマテングハギモドキ,Naso maculatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；ハワイ諸島、西部太平洋南岸,サンゴ礁域、潮の流れの強い沖の離れ根,30cm,28m
ミヤコテングハギ,Naso lituratus,南日本の太平洋岸、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、礁斜面など比較的浅所,40cm,10m
ヒレナガハギ,Zebrasoma velifer,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋サンゴ礁域,サンゴ礁域、礁斜面や礁池など,20cm,7m
ゴマハギ,Zebrasoma scopas,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋、ウェイク島を除くインド・西太平洋,サンゴ礁域、礁斜面や礁池などの浅所,10cm,12m
キイロハギ,Zebrasoma flavescens,南日本の太平洋岸、小笠原諸島、琉球列島；中・西部太平洋の熱帯域、フロリダ,サンゴ礁域、礁斜面や礁池,10cm,12m
コクテンサザナミハギ,Ctenochaetus binotatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面や礁池など浅所,15cm,7m
サザナミハギ,Ctenochaetus striatus,南日本の太平洋岸、伊豆・小笠原諸島,サンゴ礁域、礁斜面や礁池など浅所,15cm,9m
キンリンサザナミハギ,Ctenochaetus cyanocheilus,伊豆・小笠原諸島、八重山諸島；サモア、マーシャルまでの中・西部太平洋の熱帯域,サンゴ礁域、礁斜面や礁池など浅所,12cm,15m
ナンヨウハギ,Paracanthurus hepatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、潮通しのよい礁外縁や水路、沖の隠れ根,2.5cm,10m
シマハギ,Acanthurus triostegus,新潟県、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,サンゴ礁域,13cm,10m
ゴマニザ,Acanthurus guttatus,和歌山県、琉球列島；インド・太平洋,サンゴ礁域、波当たりの強い礁外縁の浅所,20cm,2m
スジクロハギ,Acanthurus leucopareius,和歌山県以南の南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；中・西部太平洋の熱帯域,サンゴ礁域、波当たりの強い礁外縁の浅所,18cm,3m
オハグロハギ,Acanthurus thompsoni,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、礁外縁の中層,22cm,14m
ヒラニザ,Acanthurus mata,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁外縁や礁斜面,20cm,10m
ナガニザ,Acanthurus nigrofuscus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面や礁池の浅所,10cm,8m
クログチニザ,Acanthurus pyroferus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面や礁池,8cm,10m
モンツキハギ,Acanthurus olivaceus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、サンゴの根の周辺など砂地に多い,20cm,13m
ナミダクロハギ,Acanthurus japonicus,伊豆・小笠原諸島、琉球列島；西部太平洋の熱帯域,サンゴ礁域、礁斜面や礁池に単独で見られる,13cm,15m
メガネクロハギ,Acanthurus nigricans,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～汎太平洋,サンゴ礁域、礁斜面や礁池などの浅所,15cm,10m
ニジハギ,Acanthurus lineatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、波あたりの強い礁外縁の水深1〜3m,25cm,2m
カンランハギ,Acanthurus bariene,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁域、礁斜面,35cm,10m
クロモンツキ,Acanthurus nigricauda,和歌山県、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面にあるサンゴの根の周辺の砂地,30cm,5m
イレズミニザ,Acanthurus maculiceps,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、礁池などの浅所,17cm,5m
クロハギ,Acanthurus xanthopterus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域、礁池や礁斜面などの浅所,25cm,10m
ニセカンランハギ,Acanthurus dussumieri,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面や礁池の浅所,30cm,13m
オスジクロハギ,Acanthurus blochii,和歌山県、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、礁池などの浅所,20cm,12m
アカツキハギ,Acanthurus achilles,沖縄島、南大東島、南鳥島、沖ノ鳥島；汎太平洋,サンゴ礁域、波当たりの強い礁外縁の浅所,20cm,5m
オニカマス,Sphyraena barracuda,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋、大西洋の熱帯域,サンゴ礁域を含む沿岸や沖合いの表層,80cm,23m
タイワンカマス,Sphyraena obtusata,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・西太平洋,サンゴ礁域を含む沿岸浅所,40cm,12m
オオメカマス,Sphyraena forsteri,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域を含む沿岸浅所,60cm,20m
ホソカマス,Sphyraena helleri,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の沿岸浅所,40cm,10m
オオカマス,Sphyraena putnamae,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、内湾的環境,70cm,10m
ヤマトカマス,Sphyraena japonica,南日本、琉球列島；南シナ海,沿岸浅所,35cm,10m
アカカマス,Sphyraena pinguis,南日本、伊豆諸島、琉球列島；インド・西太平洋,沿岸浅所,25cm,5m
グルクマ,Rastrelliger kanagurta,沖縄島以南；インド・太平洋、地中海（導入）,サンゴ礁域を含む沿岸浅所の表層,35cm,10m
コマサバ,Scomber australasicus,北海道南部以南；インド・汎太平洋沿岸や沖合いの表層,沿岸や沖合いの表層,23cm,3m
ニジョウサバ,Grammatorcynus bilineatus,高知県柏島、琉球列島；インド・太平洋,サンゴ礁域を含む沿岸浅所の表層、礁外縁部,35cm,7m
イソマグロ,Gymnosarda unicolor,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域,80cm,20m
キハダ,Thunnus albacares,日本周辺（まれに日本海）；地中海を除く世界の温・熱帯域,外洋表層,1.5m,5m
スマ,Euthynnus affinis,南日本、琉球列島、小笠原諸島,沿岸や沖合いの表層、潮通しのよい所,50cm,20m
カマスサワラ,Acanthocybium solandri,南日本、伊豆・小笠原諸島、琉球列島；全世界の温・熱帯域,沿岸や沖合いの表層、潮通しのよい所,1.3m,20m
ヨコシマサワラ,Scomberomorus commerson,佐渡島、南日本の太平洋岸、琉球列島；インド・西太平洋、セントヘレナ島、地中海（侵入）,沿岸や沖合いの表層、潮通しのよい所,1m,20m
ヒラメ,Paralichthys olivaceus,北海道～九州：サハリン、千島列島、ピーター大帝湾～南シナ海,沿岸の200m以浅の砂底,80cm,10m
タマガンゾウビラメ,Pseudorhombus pentophthalmus,北海道以南、伊豆大島、琉球列島；東シナ海～南シナ海の大陸棚,砂泥底,20cm,30m
アラメガレイ,Tarphops oligolepis,石狩湾、南日本の太平洋岸；朝鮮半島～中国、台湾,沿岸浅所の砂底,5cm,3m
セイテンビラメ,Asterorhombus intermedius,南日本の太平洋岸、伊豆大島、琉球列島；インド・西太平洋,岩礁域やサンゴ礁域の砂底,20cm,25m
コウベダルマガレイ,Crossorhombus kobensis,南日本の太平洋岸、八丈島；東シナ海、台湾海峡、南シナ海,沿岸の砂底,12cm,15m
モンダルマガレイ,Bothus mancus,八丈島、和歌山県、屋久島、琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域、礁池内など浅所の砂底,35cm,20m
トゲダルマガレイ,Bothus pantherinus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁池内など浅所の砂底,20cm,20m
メイタガレイ,Pleuronichthys lighti,南北海道以南、南日本；渤海、黄海、東シナ海北部,沿岸の100m以浅の砂泥底,25cm,15m
ナガレメイタガレイ,Pleuronichthys japonicus,東北地方以南；東シナ海の大陸棚域,沿岸の150m以浅の砂底,25cm,24m
ムスメウシノシタ,"Aseraggodes sp. of Nakabo, ed. (2013)",南日本の太平洋岸、八丈島,岩礁域の砂だまりや岩の上,10cm,5m
サザナミウシノシタ,Soleichthys heterorhinos,南日本、琉球列島；東部インド洋〜中・西部太平洋の熱帯域,サンゴ礁域,12cm,15m
ツノウシノシタ,Aesopia cornuta,南日本の太平洋沿岸、東シナ海；インド・西太平洋,沿岸の水深100m以浅の砂泥底,20cm,10m
シマウシノシタ,Zebrias zebrinus,南北海道以南〜九州,沿岸の100m以浅の砂泥底,20cm,15m
アマミウシノシタ,Synaptura marginata,琉球列島；インド・西太平洋,サンゴ礁域、礁池内など浅所の砂底や砂泥底,40cm,18m
ミナミウシノシタ,Pardachirus pavoninus,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、礁池内など浅所の砂底,20cm,20m
クロウシノシタ,Paraplagusia japonica,北海道小樽以南、南日本；黄海、東シナ海～南シナ海、パプアニューギニア,沿岸の水深20～65mの砂底や砂泥底,25cm,23m
オオシタビラメ,Arelia bilineata,南日本の太平洋岸；インド・西太平洋,沿岸の水深50～120mの砂底や砂泥底,25cm,23m
アカモンガラ,Odonus niger,相模湾以南の南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,サンゴ礁域、礁外縁の50m以浅の潮通しのよい所,25cm,10m
ソロイモンガラ,Melichthys niger,琉球列島、小笠原諸島；全世界の熱帯,サンゴ礁域、礁外縁の深所,,
イソモンガラ,Pseudobalistes fuscus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面、サンゴ片混じりの砂底,40cm,12m
キヘリモンガラ,Pseudobalistes flavimarginatus,相模湾以南の南日本の太平洋岸、琉球列島；朝鮮半島、インド・太平洋,サンゴ礁域、礁池や礁斜面,45cm,7m
オキハギ,Abalistes stellatus,南日本の太平洋岸、琉球列島；インド・西太平洋、東部大西洋,サンゴ礁域沿岸の水深40～100mの砂底,30cm,25m
ゴマモンガラ,Balistoides viridescens,南日本の太平洋沿岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、礁池や礁斜面など50m以浅,50cm,12m
モンガラカワハギ,Balistoides conspicillum,相模湾以南の南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；朝鮮半島、インド・太平洋,サンゴ礁域、礁池や礁斜面,25cm,12m
ツマジロモンガラ,Sufflamen chrysopterum,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面,20cm,15m
ムスメハギ,Sufflamen bursa,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面,15cm,15m
メガネハギ,Sufflamen fraenatum,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面などの浅所、サンゴと砂地の境目,18cm,20m
