和名,学名,分布,生息場所,深さ,体長,短い説明,長い説明,生息場所,短い説明,長い説明
ヤミヨキセワタ,Melanochlamys fukudai,北太平洋,砂泥底,12~12mm,,黒く光沢のある体が特徴のウミウシで、砂泥底を這うように移動する。小さく目立たないが、よく見ると美しい光沢がある。,ヤミヨキセワタは黒く光沢のある体が特徴的な小型のウミウシで、砂泥底をゆっくりと這うように移動します。体長は約12mmと小さく、一見地味ですが、近づいてよく観察すると、光の当たり方によって美しい光沢が確認できます。見つける際は、砂泥底の微地形（小さな窪みや砂の盛り上がり）を注意深く観察すると発見しやすいでしょう。撮影時はマクロレンズがおすすめで、光の角度を調整して体の光沢を引き出すと魅力的な写真が撮れます。この種は他のキセワタ類と比べて比較的稀で、発見すると嬉しい出会いとなるでしょう。,砂泥底,黒く光沢のある体が特徴のウミウシで、砂泥底を這うように移動する。小さく目立たないが、よく見ると美しい光沢がある。,ヤミヨキセワタは黒く光沢のある体が特徴的な小型のウミウシで、砂泥底をゆっくりと這うように移動します。体長は約12mmと小さく、一見地味ですが、近づいてよく観察すると、光の当たり方によって美しい光沢が確認できます。見つける際は、砂泥底の微地形（小さな窪みや砂の盛り上がり）を注意深く観察すると発見しやすいでしょう。撮影時はマクロレンズがおすすめで、光の角度を調整して体の光沢を引き出すと魅力的な写真が撮れます。この種は他のキセワタ類と比べて比較的稀で、発見すると嬉しい出会いとなるでしょう。
タソガレキセワタ,Melanochlamys kohi,日本、韓国,砂泥底、転石帯,7~14mm,,黒い小さな体に白い斑点があり、砂地を這うように移動。特徴的なウミウシで、見つけると嬉しい。,タソガレキセワタは黒い体色に白い斑点が散らばる小さなウミウシで、体長は7〜14mmと非常に小さいです。砂泥底や転石帯を這うように移動し、じっとしていることも多いので、注意深く観察しましょう。見つけるコツは、砂地の小さな起伏や石の周りを探すこと。撮影時はマクロレンズが必須で、ゆっくり近づけば逃げません。面白い特徴として、体の表面がビロード状になっているのが観察できます。,砂泥底、転石帯,黒い小さな体に白い斑点があり、砂地を這うように移動。特徴的なウミウシで、見つけると嬉しい。,タソガレキセワタは黒い体色に白い斑点が散らばる小さなウミウシで、体長は7〜14mmと非常に小さいです。砂泥底や転石帯を這うように移動し、じっとしていることも多いので、注意深く観察しましょう。見つけるコツは、砂地の小さな起伏や石の周りを探すこと。撮影時はマクロレンズが必須で、ゆっくり近づけば逃げません。面白い特徴として、体の表面がビロード状になっているのが観察できます。
ヤマトキセワタ,Melanochlamys sp. cf. diomedia,日本,砂泥底,13~13mm,,黒い小さな体に白い斑点があり、砂地をゆっくり這う姿が特徴。目立たないが、じっくり観察すると愛嬌のある動きを見せる。,ヤマトキセワタは黒い体色に不規則な白い斑点が散らばり、全長13mmほどの小さなウミウシです。砂泥底をゆっくり這う姿が観察でき、動きは遅く、じっくり観察すると愛嬌のある動きを見せます。ダイビングでは砂地の小さな凹凸や微細な溝を注意深く見ると発見しやすく、マクロレンズでの撮影がおすすめです。近づいても逃げないことが多く、撮影のチャンスが多いのも特徴。面白いことに、このウミウシは後鰓類に分類され、貝殻を持たない軟体動物として知られています。,砂泥底,黒い小さな体に白い斑点があり、砂地をゆっくり這う姿が特徴。目立たないが、じっくり観察すると愛嬌のある動きを見せる。,ヤマトキセワタは黒い体色に不規則な白い斑点が散らばり、全長13mmほどの小さなウミウシです。砂泥底をゆっくり這う姿が観察でき、動きは遅く、じっくり観察すると愛嬌のある動きを見せます。ダイビングでは砂地の小さな凹凸や微細な溝を注意深く見ると発見しやすく、マクロレンズでの撮影がおすすめです。近づいても逃げないことが多く、撮影のチャンスが多いのも特徴。面白いことに、このウミウシは後鰓類に分類され、貝殻を持たない軟体動物として知られています。
トンプソンアワツブガイ,Colpodaspis thompsoni,インド-太平洋,サンゴ礁域、岩礁の岩穴,4~3mm,,小さな紫色の体に白い斑点があり、岩陰に隠れていることが多い。愛らしい見た目とユニークな動きが特徴。,トンプソンアワツブガイは体長3mmほどの極小ウミウシで、紫色の体に不規則な白い斑点が散らばる愛らしい見た目が特徴です。主に岩礁の岩穴やサンゴの隙間に潜んでおり、注意深く探さないと見逃してしまうほど小さな生物です。水中ではゆっくりと這うように移動し、時折触角を振る様子が観察できます。撮影の際はマクロレンズが必須で、岩陰を丹念に探すのが見つけるコツです。面白いことに、このウミウシは貝殻を持たない裸鰓類で、その小さな体からは想像できないほど鮮やかな色をしています。,サンゴ礁域、岩礁の岩穴,小さな紫色の体に白い斑点があり、岩陰に隠れていることが多い。愛らしい見た目とユニークな動きが特徴。,トンプソンアワツブガイは体長3mmほどの極小ウミウシで、紫色の体に不規則な白い斑点が散らばる愛らしい見た目が特徴です。主に岩礁の岩穴やサンゴの隙間に潜んでおり、注意深く探さないと見逃してしまうほど小さな生物です。水中ではゆっくりと這うように移動し、時折触角を振る様子が観察できます。撮影の際はマクロレンズが必須で、岩陰を丹念に探すのが見つけるコツです。面白いことに、このウミウシは貝殻を持たない裸鰓類で、その小さな体からは想像できないほど鮮やかな色をしています。
キツネアワツブガイ,Colpodaspis sp.1,西太平洋,サンゴ礁域,7~7mm,,小さな黄色い体に黒い斑点があり、ウミウシの中でも特に小さい種類。サンゴの上をゆっくり移動する姿が観察できる。,キツネアワツブガイは体長数mmと非常に小さく、黄色い体色に黒い斑点が特徴的なウミウシです。西太平洋のサンゴ礁域に生息し、サンゴの表面や枝の間をゆっくりと移動する姿が観察できます。その小ささから見つけるのが難しいですが、サンゴの表面を注意深く観察すると発見できるでしょう。撮影にはマクロレンズが必須で、ゆっくりと近づいて撮影するのがポイントです。このウミウシは夜行性の傾向があり、日中はあまり活動的ではありませんが、その可愛らしい外見からダイバーに人気があります。,サンゴ礁域,小さな黄色い体に黒い斑点があり、ウミウシの中でも特に小さい種類。サンゴの上をゆっくり移動する姿が観察できる。,キツネアワツブガイは体長数mmと非常に小さく、黄色い体色に黒い斑点が特徴的なウミウシです。西太平洋のサンゴ礁域に生息し、サンゴの表面や枝の間をゆっくりと移動する姿が観察できます。その小ささから見つけるのが難しいですが、サンゴの表面を注意深く観察すると発見できるでしょう。撮影にはマクロレンズが必須で、ゆっくりと近づいて撮影するのがポイントです。このウミウシは夜行性の傾向があり、日中はあまり活動的ではありませんが、その可愛らしい外見からダイバーに人気があります。
チャイロアワツブガイ,Colpodaspis sp.2,南西諸島,サンゴ礁域、岩礁の岩穴,4~4mm,,茶褐色の小さなウミウシで、岩陰に潜むことが多い。丸みを帯びた形状とツブツブした質感が特徴。,チャイロアワツブガイは茶褐色の丸みを帯びた体と、表面に小さなツブ状の突起が多数あるのが特徴的なウミウシです。体長は数mm程度と非常に小さいため、岩陰やサンゴの隙間を注意深く探す必要があります。南西諸島のサンゴ礁や岩礁域で見られ、日中は岩の陰でじっとしていることが多いです。撮影の際はマクロレンズが必須で、ゆっくりと近づくことで逃げずに撮影できるチャンスがあります。小さな体ながら、よく見ると愛嬌のある表情をしていて、マクロ撮影愛好者に人気の被写体です。,サンゴ礁域、岩礁の岩穴,茶褐色の小さなウミウシで、岩陰に潜むことが多い。丸みを帯びた形状とツブツブした質感が特徴。,チャイロアワツブガイは茶褐色の丸みを帯びた体と、表面に小さなツブ状の突起が多数あるのが特徴的なウミウシです。体長は数mm程度と非常に小さいため、岩陰やサンゴの隙間を注意深く探す必要があります。南西諸島のサンゴ礁や岩礁域で見られ、日中は岩の陰でじっとしていることが多いです。撮影の際はマクロレンズが必須で、ゆっくりと近づくことで逃げずに撮影できるチャンスがあります。小さな体ながら、よく見ると愛嬌のある表情をしていて、マクロ撮影愛好者に人気の被写体です。
アマクサウミコチョウ,Gastropteron bicornutum,西太平洋,砂泥底,7~15mm,,半透明の紫色の体に小さな黒点が散らばり、ヒレを広げて水中を漂う姿が優雅。砂地で見つけることが多い。,アマクサウミコチョウは半透明の紫色の体に小さな黒点が散らばる美しいウミウシで、体長7~15mmと非常に小さいため注意深く探す必要があります。砂泥底を好み、ヒレを広げて優雅に水中を漂う姿が特徴的です。見つけるコツは、砂地の上をゆっくり移動しながら、小さな動きに注目すること。撮影時はマクロレンズが必須で、バックライトを当てると半透明の体が輝いてより美しく写ります。面白い生態として、危険を感じるとヒレを閉じて素早く砂に潜る行動が観察できます。西太平洋に分布し、ダイバーの間ではその可憐な姿から人気の高い種です。,砂泥底,半透明の紫色の体に小さな黒点が散らばり、ヒレを広げて水中を漂う姿が優雅。砂地で見つけることが多い。,アマクサウミコチョウは半透明の紫色の体に小さな黒点が散らばる美しいウミウシで、体長7~15mmと非常に小さいため注意深く探す必要があります。砂泥底を好み、ヒレを広げて優雅に水中を漂う姿が特徴的です。見つけるコツは、砂地の上をゆっくり移動しながら、小さな動きに注目すること。撮影時はマクロレンズが必須で、バックライトを当てると半透明の体が輝いてより美しく写ります。面白い生態として、危険を感じるとヒレを閉じて素早く砂に潜る行動が観察できます。西太平洋に分布し、ダイバーの間ではその可憐な姿から人気の高い種です。
マメツブウミコチョウ,Gastropteron minutum,西太平洋、中部太平洋,砂泥底、藻場域,3~3mm,,小さな白い体に茶色の斑点があり、砂地をゆっくり這う姿が特徴。ウミウシらしからぬ泳ぎ方でユニーク。,体長数mmの小さなウミウシで、白い体に茶色の斑点が散らばる模様が特徴です。砂泥底や藻場をゆっくり這う姿が観察できますが、時折ヒレのような部分を広げて泳ぐことがあり、そのユニークな動きがダイバーの目を引きます。見つけるには砂地の微地形や藻の根元を注意深く観察しましょう。小さくて動きが遅いため、マクロレンズでの撮影がおすすめです。面白いことに、この種は貝殻を持たないウミウシで、泳ぐ時にヒレを広げる姿が蝶のように見えることから『ウミコチョウ』の名が付いています。,砂泥底、藻場域,小さな白い体に茶色の斑点があり、砂地をゆっくり這う姿が特徴。ウミウシらしからぬ泳ぎ方でユニーク。,体長数mmの小さなウミウシで、白い体に茶色の斑点が散らばる模様が特徴です。砂泥底や藻場をゆっくり這う姿が観察できますが、時折ヒレのような部分を広げて泳ぐことがあり、そのユニークな動きがダイバーの目を引きます。見つけるには砂地の微地形や藻の根元を注意深く観察しましょう。小さくて動きが遅いため、マクロレンズでの撮影がおすすめです。面白いことに、この種は貝殻を持たないウミウシで、泳ぐ時にヒレを広げる姿が蝶のように見えることから『ウミコチョウ』の名が付いています。
ミドリウミコチョウ,Gastropteron viride,日本,砂泥底、藻場域,5~5mm,,鮮やかな緑色の体に半透明の翼のような部分があり、海底をヒラヒラと泳ぐ姿が幻想的。小さくて見つけにくいが、目を凝らすと緑色が目立つ。,鮮やかな緑色の体と半透明の翼のような部分（側足）が特徴的なウミウシで、体長は5mm程度と非常に小さい。砂泥底や藻場で観察でき、ヒラヒラと優雅に泳ぐ姿が幻想的。色が鮮やかなので、目を凝らして探すと見つけやすい。撮影時はマクロレンズが必須で、泳ぎ回るため少し難しいが、ユニークな形状を捉えられると素晴らしい写真が撮れる。面白いことに、このウミウシは危険を感じると側足をたたんで素早く逃げる習性があり、その動きも観察のポイントの一つ。,砂泥底、藻場域,鮮やかな緑色の体に半透明の翼のような部分があり、海底をヒラヒラと泳ぐ姿が幻想的。小さくて見つけにくいが、目を凝らすと緑色が目立つ。,鮮やかな緑色の体と半透明の翼のような部分（側足）が特徴的なウミウシで、体長は5mm程度と非常に小さい。砂泥底や藻場で観察でき、ヒラヒラと優雅に泳ぐ姿が幻想的。色が鮮やかなので、目を凝らして探すと見つけやすい。撮影時はマクロレンズが必須で、泳ぎ回るため少し難しいが、ユニークな形状を捉えられると素晴らしい写真が撮れる。面白いことに、このウミウシは危険を感じると側足をたたんで素早く逃げる習性があり、その動きも観察のポイントの一つ。
ガストロプテロン・パシフィクム,Gastropteron pacificum,日本、北米西海岸,砂泥底,6~40mm,,半透明の体に赤やオレンジの斑点があり、砂地をヒラヒラと泳ぐ。翼のような足が特徴的で、小さくて可愛らしい。,ガストロプテロン・パシフィクムは半透明の体に赤やオレンジの斑点が散りばめられ、翼のような足を広げてヒラヒラと泳ぐ姿が特徴的です。体長は小さく、最大でも40mm程度と非常にコンパクト。砂泥底を好み、砂地の上を優雅に移動します。観察のコツは、砂地の開けた場所をゆっくりと探すこと。近づくと素早く逃げることがあるため、そっとアプローチしましょう。撮影のポイントは、横から光を当てて半透明の体を透過させること。面白いことに、このウミウシは泳ぐ際に足をパタパタと動かすため、まるで空を飛んでいるかのようなユニークな姿を見せてくれます。,砂泥底,半透明の体に赤やオレンジの斑点があり、砂地をヒラヒラと泳ぐ。翼のような足が特徴的で、小さくて可愛らしい。,ガストロプテロン・パシフィクムは半透明の体に赤やオレンジの斑点が散りばめられ、翼のような足を広げてヒラヒラと泳ぐ姿が特徴的です。体長は小さく、最大でも40mm程度と非常にコンパクト。砂泥底を好み、砂地の上を優雅に移動します。観察のコツは、砂地の開けた場所をゆっくりと探すこと。近づくと素早く逃げることがあるため、そっとアプローチしましょう。撮影のポイントは、横から光を当てて半透明の体を透過させること。面白いことに、このウミウシは泳ぐ際に足をパタパタと動かすため、まるで空を飛んでいるかのようなユニークな姿を見せてくれます。
ウスバネウミコチョウ,Gastropteron sp.1,南西諸島,砂泥底,10~10mm,,半透明の体に黒や茶色の斑点があり、砂地をヒレで泳ぐ姿が特徴。ウミウシの中でも特に泳ぎが得意。,ウスバネウミコチョウは半透明の体に黒や茶色の斑点が散りばめられ、まるで舞う蝶のような優雅な泳ぎ方が特徴です。他のウミウシと異なり、ヒレを使って積極的に泳ぎ回るため、砂地の上を漂う姿を観察できます。体長は小さく、注意深く探さないと見逃してしまうことも。見つけるコツは、砂地の開けた場所でゆっくり移動しながら探すことです。撮影時は泳ぐ姿を横から捉えると、その美しさを引き出せます。面白いことに、危険を感じると体を丸めて防御姿勢をとることがあり、その愛らしい姿もダイバーに人気です。,砂泥底,半透明の体に黒や茶色の斑点があり、砂地をヒレで泳ぐ姿が特徴。ウミウシの中でも特に泳ぎが得意。,ウスバネウミコチョウは半透明の体に黒や茶色の斑点が散りばめられ、まるで舞う蝶のような優雅な泳ぎ方が特徴です。他のウミウシと異なり、ヒレを使って積極的に泳ぎ回るため、砂地の上を漂う姿を観察できます。体長は小さく、注意深く探さないと見逃してしまうことも。見つけるコツは、砂地の開けた場所でゆっくり移動しながら探すことです。撮影時は泳ぐ姿を横から捉えると、その美しさを引き出せます。面白いことに、危険を感じると体を丸めて防御姿勢をとることがあり、その愛らしい姿もダイバーに人気です。
シロウミコチョウ,Gastropteron sp.2,日本,砂泥底,4~3mm,,白く半透明な体が特徴のウミウシで、砂地をゆっくりと移動。羽のようなひれを優雅に動かす姿が印象的。,シロウミコチョウは白く半透明な体が特徴で、背中にある羽のようなひれを優雅に動かしながら砂地を移動します。体長は約4〜3mmと非常に小さく、砂泥底に生息しているため、注意深く探さないと見つけられません。観察の際は、砂地の微細な動きに注目し、ゆっくりと近づくことがポイントです。撮影時はマクロレンズが必須で、ひれの動きを捉えると美しい写真が撮れます。面白い生態として、危険を感じるとひれを閉じて砂に潜る習性があります。,砂泥底,白く半透明な体が特徴のウミウシで、砂地をゆっくりと移動。羽のようなひれを優雅に動かす姿が印象的。,シロウミコチョウは白く半透明な体が特徴で、背中にある羽のようなひれを優雅に動かしながら砂地を移動します。体長は約4〜3mmと非常に小さく、砂泥底に生息しているため、注意深く探さないと見つけられません。観察の際は、砂地の微細な動きに注目し、ゆっくりと近づくことがポイントです。撮影時はマクロレンズが必須で、ひれの動きを捉えると美しい写真が撮れます。面白い生態として、危険を感じるとひれを閉じて砂に潜る習性があります。
アマミウミコチョウ,Gastropteron sp.3,南西諸島,砂泥底,3~5mm,,小さな羽のような足を持ち、砂地をヒラヒラと泳ぐ姿が特徴的。半透明の体に褐色の斑点があり、愛らしい動きで人気。,アマミウミコチョウは3~5mmほどの小さなウミウシで、半透明の体に褐色の斑点が散りばめられた美しい見た目が特徴です。羽のような足をヒラヒラさせながら砂地を泳ぐ姿は非常に愛らしく、ダイバーの間で人気があります。観察の際は砂泥底をゆっくりと移動しながら探すと良いでしょう。動きがユニークで撮影しやすいですが、非常に小さいのでマクロレンズが必須です。面白いことに、危険を感じると足を縮めて丸くなる習性があり、その変わった防御姿勢も観察のポイントです。,砂泥底,小さな羽のような足を持ち、砂地をヒラヒラと泳ぐ姿が特徴的。半透明の体に褐色の斑点があり、愛らしい動きで人気。,アマミウミコチョウは3~5mmほどの小さなウミウシで、半透明の体に褐色の斑点が散りばめられた美しい見た目が特徴です。羽のような足をヒラヒラさせながら砂地を泳ぐ姿は非常に愛らしく、ダイバーの間で人気があります。観察の際は砂泥底をゆっくりと移動しながら探すと良いでしょう。動きがユニークで撮影しやすいですが、非常に小さいのでマクロレンズが必須です。面白いことに、危険を感じると足を縮めて丸くなる習性があり、その変わった防御姿勢も観察のポイントです。
ムラサキウミコチョウ,Sagaminopteron ornatum,西太平洋,岩礁の岩穴、砂泥底,15~15mm,,紫色の美しい体色に白や黄色の斑点があり、海底でじっとしていることが多い。ウミコチョウの仲間で、優雅な姿が特徴的。,紫色を基調とした美しい体色に、白や黄色の斑点が散りばめられたウミウシで、ウミコチョウの仲間として知られています。体長は比較的小さく、海底の岩陰や砂泥底でじっとしていることが多いです。ダイビング中に見つけるには、岩礁の岩穴や砂泥底を注意深く探すと良いでしょう。動きはゆっくりで、接近してもあまり逃げないため、写真撮影に適しています。面白い生態として、刺激を受けると独特の防御姿勢をとることがあり、その姿も観察の楽しみの一つです。優雅な姿と鮮やかな色合いから、ダイバーに人気のウミウシです。,岩礁の岩穴、砂泥底,紫色の美しい体色に白や黄色の斑点があり、海底でじっとしていることが多い。ウミコチョウの仲間で、優雅な姿が特徴的。,紫色を基調とした美しい体色に、白や黄色の斑点が散りばめられたウミウシで、ウミコチョウの仲間として知られています。体長は比較的小さく、海底の岩陰や砂泥底でじっとしていることが多いです。ダイビング中に見つけるには、岩礁の岩穴や砂泥底を注意深く探すと良いでしょう。動きはゆっくりで、接近してもあまり逃げないため、写真撮影に適しています。面白い生態として、刺激を受けると独特の防御姿勢をとることがあり、その姿も観察の楽しみの一つです。優雅な姿と鮮やかな色合いから、ダイバーに人気のウミウシです。
マダラウミコチョウ,Sagaminopteron multimaculatum,日本、フィリピン,サンゴ礁域、岩礁の岩穴,4~5mm,,鮮やかな黄色やオレンジの体に黒い斑点が散らばる小型ウミウシ。岩陰でじっとしていることが多く、目を凝らすと見つけられる。,マダラウミコチョウは4~5mmほどの極小サイズで、鮮やかな黄色〜オレンジ色の体に不規則な黒い斑点が特徴です。サンゴ礁や岩礁の岩陰やくぼみに潜んでいることが多く、肉眼では見つけにくいため、ゆっくりと岩肌を観察する必要があります。動きは遅く、じっとしていることが多いですが、刺激を与えるとゆっくり移動します。撮影時はマクロレンズ必須で、ストロボの光量を調節して色味を引き立たせると美しく写ります。学名の'multimaculatum'は「多数の斑点」を意味し、地域によって体色のバリエーションがある興味深い種です。,サンゴ礁域、岩礁の岩穴,鮮やかな黄色やオレンジの体に黒い斑点が散らばる小型ウミウシ。岩陰でじっとしていることが多く、目を凝らすと見つけられる。,マダラウミコチョウは4~5mmほどの極小サイズで、鮮やかな黄色〜オレンジ色の体に不規則な黒い斑点が特徴です。サンゴ礁や岩礁の岩陰やくぼみに潜んでいることが多く、肉眼では見つけにくいため、ゆっくりと岩肌を観察する必要があります。動きは遅く、じっとしていることが多いですが、刺激を与えるとゆっくり移動します。撮影時はマクロレンズ必須で、ストロボの光量を調節して色味を引き立たせると美しく写ります。学名の'multimaculatum'は「多数の斑点」を意味し、地域によって体色のバリエーションがある興味深い種です。
コンニャクウミコチョウ,Sagaminopteron nigropunctatum,インド-西太平洋,砂泥底、藻場域,8~13mm,,黒っぽい体に黄色や白色の斑点があり、海底をゆっくり這う。小さくて目立たないが、よく見ると可愛らしい姿。,黒っぽい体色に黄色や白色の小さな斑点が散りばめられたコンニャクウミコチョウは、砂泥底や藻場をゆっくりと這う姿が観察できます。体長は最大13mmほどと非常に小さいため、見つけるには細かい砂地や藻の根元を注意深く探す必要があります。動きが遅く、驚くと体を縮める習性があるので、ゆっくりと近づいて観察しましょう。撮影時はマクロレンズが必須で、横からだけでなく上からのアングルでも斑点模様が美しく映えます。面白いことに、このウミウシは貝殻を持たないウミウシの一種で、体が柔らかくコンニャクのような質感をしています。,砂泥底、藻場域,黒っぽい体に黄色や白色の斑点があり、海底をゆっくり這う。小さくて目立たないが、よく見ると可愛らしい姿。,黒っぽい体色に黄色や白色の小さな斑点が散りばめられたコンニャクウミコチョウは、砂泥底や藻場をゆっくりと這う姿が観察できます。体長は最大13mmほどと非常に小さいため、見つけるには細かい砂地や藻の根元を注意深く探す必要があります。動きが遅く、驚くと体を縮める習性があるので、ゆっくりと近づいて観察しましょう。撮影時はマクロレンズが必須で、横からだけでなく上からのアングルでも斑点模様が美しく映えます。面白いことに、このウミウシは貝殻を持たないウミウシの一種で、体が柔らかくコンニャクのような質感をしています。
トウモンウミコチョウ,Sagaminopteron psychedelicum,インド-太平洋,サンゴ礁域、岩礁の岩穴,10~20mm,,鮮やかな青とオレンジの迷彩模様が特徴のウミウシ。岩陰をゆっくり這う姿が観察でき、小さな体で存在感抜群。,トウモンウミコチョウは青地にオレンジの不規則な模様が特徴で、まるで抽象画のようなユニークな体色を持っています。体長は最大でも20mm程度と小さいものの、その派手な色彩で水中でもよく目立ちます。岩陰やサンゴの隙間をゆっくり這うように移動し、時折触角を伸ばして周囲を探る姿が観察できます。撮影時はマクロレンズが必須で、できるだけ近づいてその細かい模様を捉えるのがポイント。このウミウシは防御物質を分泌するため、無理に触らないように注意が必要です。,サンゴ礁域、岩礁の岩穴,鮮やかな青とオレンジの迷彩模様が特徴のウミウシ。岩陰をゆっくり這う姿が観察でき、小さな体で存在感抜群。,トウモンウミコチョウは青地にオレンジの不規則な模様が特徴で、まるで抽象画のようなユニークな体色を持っています。体長は最大でも20mm程度と小さいものの、その派手な色彩で水中でもよく目立ちます。岩陰やサンゴの隙間をゆっくり這うように移動し、時折触角を伸ばして周囲を探る姿が観察できます。撮影時はマクロレンズが必須で、できるだけ近づいてその細かい模様を捉えるのがポイント。このウミウシは防御物質を分泌するため、無理に触らないように注意が必要です。
サガミノプテロン・ポンペイ,Sagaminopteron pohnpei,西太平洋、中部太平洋,サンゴ礁域、岩礁の岩穴,5~5mm,,鮮やかな紫色と黄色の模様が特徴的なウミウシ。岩陰に隠れることが多く、ゆっくりと移動する姿が観察できる。,サガミノプテロン・ポンペイは、鮮やかな紫色の体に黄色の細かい模様が入り、非常に目立つウミウシです。体長は小型で、岩礁の岩穴やサンゴの陰に隠れていることが多く、ゆっくりと移動します。観察時は岩陰を丁寧にチェックすると見つけやすく、驚くとすぐに隠れてしまうため、静かに接近するのがポイントです。撮影時はその美しい色彩を引き出すため、ストロボの光を調整すると良いでしょう。面白いことに、このウミウシは刺激を受けると紫色の粘液を分泌することがあり、防御機制として知られています。,サンゴ礁域、岩礁の岩穴,鮮やかな紫色と黄色の模様が特徴的なウミウシ。岩陰に隠れることが多く、ゆっくりと移動する姿が観察できる。,サガミノプテロン・ポンペイは、鮮やかな紫色の体に黄色の細かい模様が入り、非常に目立つウミウシです。体長は小型で、岩礁の岩穴やサンゴの陰に隠れていることが多く、ゆっくりと移動します。観察時は岩陰を丁寧にチェックすると見つけやすく、驚くとすぐに隠れてしまうため、静かに接近するのがポイントです。撮影時はその美しい色彩を引き出すため、ストロボの光を調整すると良いでしょう。面白いことに、このウミウシは刺激を受けると紫色の粘液を分泌することがあり、防御機制として知られています。
アユカワウミコチョウ,Siphopteron fuscum,日本,砂泥底、藻場域,2~10mm,,小さな黒っぽいウミウシで、特徴的な尾のような突起を持つ。ゆっくりと移動し、砂地や藻の上で見つかることが多い。,アユカワウミコチョウは体長数mm程度の小さなウミウシで、黒や茶色の体色が特徴です。尾部には細長い突起があり、泳ぐ際にこの部分を動かす様子が観察できます。主に砂泥底や藻場に生息し、ゆっくりと這いながら移動するため、注意深く探すと見つけやすいです。撮影の際はマクロレンズがおすすめで、体の模様や尾の動きをクローズアップすると面白い写真が撮れます。このウミウシは雌雄同体で、交尾時に互いに精子を交換するという興味深い生態を持っています。,砂泥底、藻場域,小さな黒っぽいウミウシで、特徴的な尾のような突起を持つ。ゆっくりと移動し、砂地や藻の上で見つかることが多い。,アユカワウミコチョウは体長数mm程度の小さなウミウシで、黒や茶色の体色が特徴です。尾部には細長い突起があり、泳ぐ際にこの部分を動かす様子が観察できます。主に砂泥底や藻場に生息し、ゆっくりと這いながら移動するため、注意深く探すと見つけやすいです。撮影の際はマクロレンズがおすすめで、体の模様や尾の動きをクローズアップすると面白い写真が撮れます。このウミウシは雌雄同体で、交尾時に互いに精子を交換するという興味深い生態を持っています。
オレンジウミコチョウ,Siphopteron brunneomarginatum,西太平洋、中部太平洋,サンゴ礁域、岩礁の岩穴、転石帯,4~5mm,,鮮やかなオレンジ色の小さなウミウシで、羽のような外鰓が特徴。岩陰や転石の間をゆっくり移動している姿が観察できる。,オレンジウミコチョウは体長数ミリの小さなウミウシで、その名の通り鮮やかなオレンジ色の体が目を引きます。特徴的な羽のような外鰓を持ち、まるで小さな蝶が舞っているような愛らしい姿です。岩陰や転石の隙間をゆっくりと移動していることが多く、注意深く観察するとその繊細な動きを楽しめます。撮影の際はマクロレンズが必須で、できるだけ接近してその美しい色彩と外鰓のディテールを捉えましょう。この種は雌雄同体で、繁殖時に互いに精子を交換する興味深い生態を持っています。,サンゴ礁域、岩礁の岩穴、転石帯,鮮やかなオレンジ色の小さなウミウシで、羽のような外鰓が特徴。岩陰や転石の間をゆっくり移動している姿が観察できる。,オレンジウミコチョウは体長数ミリの小さなウミウシで、その名の通り鮮やかなオレンジ色の体が目を引きます。特徴的な羽のような外鰓を持ち、まるで小さな蝶が舞っているような愛らしい姿です。岩陰や転石の隙間をゆっくりと移動していることが多く、注意深く観察するとその繊細な動きを楽しめます。撮影の際はマクロレンズが必須で、できるだけ接近してその美しい色彩と外鰓のディテールを捉えましょう。この種は雌雄同体で、繁殖時に互いに精子を交換する興味深い生態を持っています。
キイロウミコチョウ,Siphopteron flavum,西太平洋、中部太平洋,砂泥底、藻場域,4~6mm,,鮮やかな黄色い体色が特徴のウミウシ。砂地や藻の上をゆっくり移動し、小型の甲殻類を捕食する。,キイロウミコチョウは鮮やかな黄色い体色が目を引く小型のウミウシで、4~6mmほどの大きさです。主に砂泥底や藻場域に生息し、砂地や藻の上をゆっくり這いながら移動します。餌は小型の甲殻類で、その姿を観察するとまるで小さな蝶が舞っているように見えることから名前が付けられました。見つけるコツは、砂地や藻場をゆっくりと観察し、黄色い小さな点を見つけることです。撮影の際は、近づきすぎると驚かせてしまうので、少し離れてマクロレンズで狙うのがおすすめです。面白い豆知識として、このウミウシは雌雄同体で、交尾時に互いに精子を交換するユニークな生態を持っています。,砂泥底、藻場域,鮮やかな黄色い体色が特徴のウミウシ。砂地や藻の上をゆっくり移動し、小型の甲殻類を捕食する。,キイロウミコチョウは鮮やかな黄色い体色が目を引く小型のウミウシで、4~6mmほどの大きさです。主に砂泥底や藻場域に生息し、砂地や藻の上をゆっくり這いながら移動します。餌は小型の甲殻類で、その姿を観察するとまるで小さな蝶が舞っているように見えることから名前が付けられました。見つけるコツは、砂地や藻場をゆっくりと観察し、黄色い小さな点を見つけることです。撮影の際は、近づきすぎると驚かせてしまうので、少し離れてマクロレンズで狙うのがおすすめです。面白い豆知識として、このウミウシは雌雄同体で、交尾時に互いに精子を交換するユニークな生態を持っています。
